"","date","home.x","visit","place","number_audience","homewin"
"644","2019/09/08","KT","SK","수원",8279,"win"
"645","2019/09/08","LG","두산","잠실",17675,"win"
"646","2019/09/08","삼성","NC","대구",10820,"win"
"647","2019/09/08","한화","롯데","대전",6216,"lose"
"648","2019/09/10","롯데","KIA","사직",4211,"win"
"649","2019/09/10","삼성","KT","대구",7309,"win"
"650","2019/09/10","한화","LG","청주",4865,"lose"
"651","2019/09/11","SK","키움","문학",10396,"lose"
"652","2019/09/11","두산","NC","잠실",8618,"lose"
"653","2019/09/11","롯데","KIA","사직",6434,"lose"
"654","2019/09/11","삼성","KT","대구",5222,"win"
"655","2019/09/11","한화","LG","청주",5235,"win"
"656","2019/09/12","KT","NC","수원",5440,"lose"
"657","2019/09/12","두산","KIA","잠실",12267,"win"
"658","2019/09/12","롯데","SK","사직",3792,"lose"
"659","2019/09/12","키움","LG","고척",9691,"win"
"660","2019/09/13","KT","NC","수원",5612,"lose"
"661","2019/09/13","두산","KIA","잠실",12415,"win"
"662","2019/09/13","롯데","SK","사직",4074,"win"
"663","2019/09/13","삼성","한화","대구",11852,"lose"
"664","2019/09/13","키움","LG","고척",8848,"lose"
"665","2019/09/14","KT","키움","수원",7553,"win"
"666","2019/09/14","LG","KIA","잠실",17406,"win"
"667","2019/09/14","NC","삼성","창원",16496,"win"
"668","2019/09/14","SK","두산","문학",21027,"win"
"669","2019/09/14","한화","롯데","대전",8007,"win"
"670","2019/09/15","LG","두산","잠실",18171,"win"
"671","2019/09/15","NC","삼성","창원",12163,"win"
"672","2019/09/15","SK","KT","문학",12865,"lose"
"673","2019/09/15","한화","롯데","대전",5003,"lose"
"674","2019/09/16","KT","LG","수원",5620,"lose"
"675","2019/09/16","두산","키움","잠실",9298,"lose"
"676","2019/09/16","삼성","한화","대구",3925,"lose"
"677","2019/09/17","KIA","NC","광주",8011,"win"
"678","2019/09/17","한화","키움","대전",5293,"win"
"679","2019/09/18","KIA","롯데","광주",5448,"win"
"680","2019/09/18","SK","NC","문학",8002,"lose"
"681","2019/09/18","삼성","LG","포항",2801,"lose"
"682","2019/09/19","NC","LG","창원",8878,"win"
"683","2019/09/19","SK","두산","문학",13952,"lose"
"684","2019/09/19","SK","두산","문학",7078,"lose"
"685","2019/09/19","삼성","KIA","대구",5887,"win"
"686","2019/09/20","SK","키움","문학",14956,"lose"
"687","2019/09/20","두산","KIA","잠실",13147,"win"
"688","2019/09/20","롯데","KT","사직",3514,"lose"
"689","2019/09/20","한화","삼성","대전",6003,"win"
"690","2019/09/21","KT","삼성","수원",7673,"lose"
"691","2019/09/21","두산","KIA","잠실",16912,"win"
"692","2019/09/22","두산","LG","잠실",14596,"lose"
"693","2019/09/23","KT","KIA","수원",4327,"win"
"694","2019/09/23","LG","한화","잠실",11775,"lose"
"695","2019/09/23","롯데","NC","사직",1762,"lose"
"696","2019/09/24","KIA","키움","광주",6217,"win"
"697","2019/09/24","KT","SK","수원",4948,"win"
"698","2019/09/24","LG","삼성","잠실",15115,"lose"
"699","2019/09/24","NC","두산","창원",8198,"same"
"700","2019/09/25","NC","한화","창원",11238,"lose"
"701","2019/09/25","SK","삼성","문학",18278,"win"
"702","2019/09/25","롯데","두산","사직",2960,"lose"
"703","2019/09/26","KT","LG","수원",6298,"lose"
"704","2019/09/26","NC","한화","창원",14039,"lose"
"705","2019/09/26","롯데","KIA","사직",2662,"lose"
"706","2019/09/26","삼성","두산","대구",7483,"lose"
"707","2019/09/27","LG","NC","잠실",19523,"lose"
"708","2019/09/27","삼성","SK","대구",7726,"lose"
"709","2019/09/28","KIA","LG","광주",13888,"win"
"710","2019/09/28","KT","NC","수원",11350,"win"
"711","2019/09/28","삼성","SK","대구",18193,"win"
"712","2019/09/29","KT","삼성","수원",9755,"win"
"713","2019/09/29","LG","두산","잠실",25000,"lose"
"714","2019/09/29","롯데","키움","사직",3331,"lose"
"715","2019/09/30","LG","롯데","잠실",12042,"win"
"716","2019/10/01","두산","NC","잠실",24081,"win"
"717","2019/10/01","롯데","키움","사직",1842,"lose"
