,date,parks,away,home,homewin,etcs,times,day,visit,place,number_audience
75,2018/04/26,광주,한화,KIA,lose,-, 18:30 ,목,한화,광주,12055
76,2018/04/27,사직,한화,롯데,win,-, 18:30 ,금,한화,사직,14873
77,2018/04/28,사직,한화,롯데,lose,-, 17:00 ,토,한화,사직,23139
78,2018/04/29,사직,한화,롯데,win,-, 14:00 ,일,한화,사직,17684
79,2018/04/01,대구,넥센,삼성,win,-, 14:00 ,일,넥센,대구,14336
80,2018/04/03,고척,KT,넥센,lose,-, 18:30 ,화,KT,고척,1814
81,2018/04/04,고척,KT,넥센,win,-, 18:30 ,수,KT,고척,2081
82,2018/04/05,고척,KT,넥센,win,-, 18:30 ,목,KT,고척,2489
83,2018/04/06,광주,넥센,KIA,win,-, 18:30 ,금,넥센,광주,10616
84,2018/04/07,광주,넥센,KIA,win,-, 17:00 ,토,넥센,광주,16661
85,2018/04/08,광주,넥센,KIA,win,-, 14:00 ,일,넥센,광주,16133
86,2018/04/10,울산,넥센,롯데,win,-, 18:30 ,화,넥센,울산,5902
87,2018/04/11,울산,넥센,롯데,win,-, 18:30 ,수,넥센,울산,5991
88,2018/04/12,울산,넥센,롯데,lose,-, 18:30 ,목,넥센,울산,7252
89,2018/04/13,고척,두산,넥센,lose,-, 18:30 ,금,두산,고척,6031
90,2018/04/14,고척,두산,넥센,win,-, 17:00 ,토,두산,고척,12480
91,2018/04/15,고척,두산,넥센,lose,-, 14:00 ,일,두산,고척,9629
92,2018/04/17,고척,NC,넥센,lose,-, 18:30 ,화,NC,고척,2028
93,2018/04/18,고척,NC,넥센,lose,-, 18:30 ,수,NC,고척,2344
94,2018/04/19,고척,NC,넥센,win,-, 18:30 ,목,NC,고척,2453
95,2018/04/24,잠실,넥센,LG,win,-, 18:30 ,화,넥센,잠실,8531
96,2018/04/25,잠실,넥센,LG,win,-, 18:30 ,수,넥센,잠실,10744
97,2018/04/26,잠실,넥센,LG,win,-, 18:30 ,목,넥센,잠실,11008
98,2018/04/01,잠실,KIA,LG,win,-, 14:00 ,일,KIA,잠실,23815
99,2018/04/13,광주,롯데,KIA,lose,-, 18:30 ,금,롯데,광주,14159
100,2018/04/17,광주,LG,KIA,win,-, 18:30 ,화,LG,광주,8058
101,2018/04/18,광주,LG,KIA,win,-, 18:30 ,수,LG,광주,8528
102,2018/04/19,광주,LG,KIA,win,-, 18:30 ,목,LG,광주,10700
103,2018/04/20,잠실,KIA,두산,win,-, 18:30 ,금,KIA,잠실,23214
104,2018/04/21,잠실,KIA,두산,win,-, 17:00 ,토,KIA,잠실,25000
105,2018/04/22,잠실,KIA,두산,lose,-, 14:00 ,일,KIA,잠실,22177
106,2018/04/27,수원,KIA,KT,lose,-, 18:30 ,금,KIA,수원,14901
107,2018/04/28,수원,KIA,KT,win,-, 17:00 ,토,KIA,수원,20800
108,2018/04/29,수원,KIA,KT,win,-, 14:00 ,일,KIA,수원,20800
109,2018/04/03,마산,삼성,NC,win,-, 18:30 ,화,삼성,마산,5655
110,2018/04/04,마산,삼성,NC,win,-, 18:30 ,수,삼성,마산,3192
111,2018/04/05,마산,삼성,NC,lose,-, 18:30 ,목,삼성,마산,3904
112,2018/04/10,대구,두산,삼성,lose,-, 18:30 ,화,두산,대구,6323
113,2018/04/11,대구,두산,삼성,lose,-, 18:30 ,수,두산,대구,7736
